DATE,DATA
23-Aug-2021,-0.563236913
24-Aug-2021,-0.523015804
25-Aug-2021,-0.449478387
26-Aug-2021,-0.46275443
27-Aug-2021,-0.469850196
30-Aug-2021,-0.477852318
31-Aug-2021,-0.448145576
01-Sep-2021,-0.459006713
02-Sep-2021,-0.481580447
03-Sep-2021,-0.437315188
07-Sep-2021,-0.389106323
08-Sep-2021,-0.443906852
09-Sep-2021,-0.4889408
10-Sep-2021,-0.442256881
13-Sep-2021,-0.470727276
14-Sep-2021,-0.537048332
15-Sep-2021,-0.516323494
16-Sep-2021,-0.484187027
17-Sep-2021,-0.456530754
20-Sep-2021,-0.523676596
21-Sep-2021,-0.500335695
22-Sep-2021,-0.55938456
23-Sep-2021,-0.461049203
24-Sep-2021,-0.390388013
27-Sep-2021,-0.376055136
28-Sep-2021,-0.288134018
29-Sep-2021,-0.250521466
30-Sep-2021,-0.276639399
01-Oct-2021,-0.296877005
04-Oct-2021,-0.295670434
05-Oct-2021,-0.246228688
06-Oct-2021,-0.276242298
07-Oct-2021,-0.22889356
08-Oct-2021,-0.197116378
12-Oct-2021,-0.286887368
13-Oct-2021,-0.362678976
14-Oct-2021,-0.374597536
15-Oct-2021,-0.364211943
18-Oct-2021,-0.401921995
19-Oct-2021,-0.292015202
20-Oct-2021,-0.286448358
21-Oct-2021,-0.297536891
22-Oct-2021,-0.356572124
25-Oct-2021,-0.339811932
26-Oct-2021,-0.380283739
27-Oct-2021,-0.50736834
28-Oct-2021,-0.458027146
29-Oct-2021,-0.445850066
01-Nov-2021,-0.433692575
02-Nov-2021,-0.441547477
03-Nov-2021,-0.425040253
04-Nov-2021,-0.448696414
05-Nov-2021,-0.540101339
08-Nov-2021,-0.526767597
09-Nov-2021,-0.579656395
10-Nov-2021,-0.552184388
12-Nov-2021,-0.537712806
15-Nov-2021,-0.47577078
16-Nov-2021,-0.464051068
17-Nov-2021,-0.486317666
18-Nov-2021,-0.503153522
19-Nov-2021,-0.584754544
22-Nov-2021,-0.524100571
23-Nov-2021,-0.468176921
24-Nov-2021,-0.530294469
26-Nov-2021,-0.64074134
29-Nov-2021,-0.588682059
30-Nov-2021,-0.686242612
01-Dec-2021,-0.62156234
02-Dec-2021,-0.732020738
03-Dec-2021,-0.813970241
06-Dec-2021,-0.753511012
07-Dec-2021,-0.73718614
08-Dec-2021,-0.710528896
09-Dec-2021,-0.754878304
